order_id,material,quantity,supplier,status,rush
1,Caffeine,50,ChemSupplies BV,Shipped,No
2,Vitamin C,100,VitaTrade,Processing,No
3,Magnesium,75,NutriSource Europe,Delivered,No
4,Calcium,120,Health Ingredients BV,Shipped,No
5,Gelatin,200,BioSupply Group,Delivered,No
6,Omega 3,90,Supplement Solutions,Processing,No
7,Zinc,60,Global Vitamins Ltd,Shipped,No
8,Vitamin D3,110,Pharma Ingredients BV,Delivered,No
9,Vitamin B12,40,Natural Goods Europe,Processing,No
10,Biotin,80,Active Health Supply,Shipped,No
11,Collagen,150,BioSupply Group,Delivered,No
12,Iron,70,ChemSupplies BV,Shipped,No
13,Coenzyme Q10,30,VitaTrade,Processing,No
14,Melatonin,55,Supplement Solutions,Delivered,No
15,Probiotics,95,Global Vitamins Ltd,Shipped,No
