supplier_id,name,email,phone,contact_person
1,ChemSupplies BV,info@chemsupplies.nl,101234567,Jan de Boer
2,VitaTrade,contact@vitatrade.nl,209876543,Sarah Jansen
3,NutriSource Europe,sales@nutrisource.eu,304567891,Ahmed El Amrani
4,Health Ingredients BV,info@healthingredients.nl,406789123,Lisa Bakker
5,BioSupply Group,support@biosupply.com,503456789,Tom Peters
6,Supplement Solutions,orders@supplementsolutions.nl,701239876,Emma de Vries
7,Global Vitamins Ltd,contact@globalvitamins.com,809871234,Mark Smit
8,Pharma Ingredients BV,service@pharmaingredients.nl,904561237,Sophie Meijer
9,Natural Goods Europe,info@naturalgoods.eu,106543217,Kevin Willems
10,Active Health Supply,sales@activehealth.nl,207654321,Noah Visser
